Name,DetailedInfo,SupportInfo,Target,HowtoRegister,URL,Category1,Category2,Category3,toktokid
"산모·신생아 건강관리 지원사업","전문교육을 받은 산모·신생아 건강관리사가 출산 가정을 방문해
산모의 건강회복을 돕고. 신생아를 보살펴 출산 가정의 경제적 부담을 덜어 줍니다.","태아 유형. 출산 순위에 따라 바우처 지원기간 상이합니다.
단태아: 첫째아(10일). 둘째아(15일). 셋째아 이상(15일)
쌍태아 및 중증장애산모&단태아 : 15일
삼태아 이상 및 중증장애산모&쌍태아 이상 : 20일
표준서비스기간을 기준으로 이용자의 선택에 따라 5일 단축 또는 5일 연장 이용가능
산모ㆍ신생아 건강관리사가 일정기간 출산가정을 방문하여 산후관리*를 도와주는 산모ㆍ신생아 건강관리 서비스 이용권을 지급합니다.
* 산모건강관리(유방관리. 체조지원 등). 신생아 건강관리(목욕. 수유지원 등). 산모 식사준비. 산모·신생아 세탁물 관리 및 청소 등","국내에 주민등록(주민등록을 한 재외국민 포함) 또는 외국인 등록을 둔 출산 가정*을 지원합니다.
* 단. 부부 모두가 외국인인 경우 각각의 국내 체류자격 비자(사증) 종류가 F-2(거주). F-5(영주). F-6(결혼이민)인 경우에 한함","주소지 관할 보건소에 방문하여 신청하거나 인터넷(online.bokjiro.go.kr)으로 신청",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=356&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,1
해산급여,"수급자 가구의 임산부가 출산 예정이거나 출산한 경우에 해산비를 지급합니다.","수급자가 출산(출산예정 포함)한 경우 1인당 70만원을 지급합니다(쌍둥이 출산시 140만원).","생계. 의료. 주거급여 수급자가 출산한 경우(출산예정 포함)에 해산급여를 지급합니다.","읍/면/동 주민센터에 방문하여 신청",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=283&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,2
"고위험 임산부 의료비 지원","고위험 임신의 치료와 관리에 필요한 진료비를 지원하여 경제적 부담을 줄이고.
건강한 출산을 보장합니다.","고위험 임산부 입원치료비의 급여 중 전액본인부담금 및 비급여 진료비의 90%(상급병실료 차액 및 환자특식 제외. 1인당 300만원 한도)를 지원합니다.","19대 고위험 임신질환(조기진통. 분만관련 출혈. 중증 임신중독증. 양막의 조기파열. 태반조기박리. 전치태반. 절박유산. 양수과다증. 양수과소증. 분만전 출혈. 자궁경부무력증. 고혈압. 다태임신. 당뇨병. 대사장애를 동반한 임신과다구토. 신질환. 심부전. 자궁 내 성장 제한. 자궁 및 자궁의 부속기 질환)으로 진단받고 입원치료 받은 임산부를 지원합니다.","시군구 보건소에 방문하여 신청합니다",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=13463&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,3
"여성장애인 출산비용 지원","임신과 출산에 대한 비용이 추가로 발생하는 장애인여성에게 출산비용을 지원하여
경제적 부담을 경감하고 모성권 보호에 기여합니다.","출산(유산 또는 사산 포함)시 태아 1인 기준 100만원을 지원합니다.","등록 장애인여성이 출산이나 유산 또는 사산(임신기간 4개월 이상)을 했을 경우에 지원합니","신청은 읍/면/동 주민센터에 직접 방문(또는 인터넷)하여 신청",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=250&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,4
"표준모자보건수첩 제작·배부","표준모자보건수첩을 제작하고 배부하여 예방접종. 각종 검진. 검사. 양육 등에 대한
정보를 제공하고. 관리할 수 있도록 지원합니다.","임신부 또는 출생사실이 확인 된 영유아 중 보건소에 등록된 자를 지원합니다.","산모수첩 및 어린이건강수첩을 제공합니다.","보건소(산부인과.?청소년소아과)를 방문하여 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=235&pageGb=1&domainName=&firstIndex=10&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,5
"산모·신생아 건강관리 지원사업","전문교육을 받은 산모·신생아 건강관리사가 출산 가정을 방문해
산모의 건강회복을 돕고. 신생아를 보살펴 출산 가정의 경제적 부담을 덜어 줍니다.","태아 유형. 출산 순위에 따라 바우처 지원기간 상이합니다.
단태아: 첫째아(10일). 둘째아(15일). 셋째아 이상(15일)
쌍태아 및 중증장애산모&단태아 : 15일
삼태아 이상 및 중증장애산모&쌍태아 이상 : 20일
표준서비스기간을 기준으로 이용자의 선택에 따라 5일 단축 또는 5일 연장 이용가능","국내에 주민등록(주민등록을 한 재외국민 포함) 또는 외국인 등록을 둔 출산 가정*을 지원합니다.
* 단. 부부 모두가 외국인인 경우 각각의 국내 체류자격 비자(사증) 종류가 F-2(거주). F-5(영주). F-6(결혼이민)인 경우에 한함","주소지 관할 보건소에 방문하여 신청하거나 인터넷(online.bokjiro.go.kr)으로 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=356&pageGb=1&domainName=&firstIndex=10&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,6
"청소년산모 임신·출산 의료비 지원","청소년산모에게 임신 및 출산에 필요한 의료비를 지원하여
청소년산모와 태아의 건강증진을 돕습니다.
","임신 1회당 의료비를 120만원 이내로 지원합니다.","임신확인서로 임신이 확인된 만 18세 이하의 청소년산모에게 지원합니다.","한국사회보장정보원 사회서비스바우처 홈페이지(www.socialservice.or.kr)에서 온라인신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=58&pageGb=1&domainName=&firstIndex=10&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,7
의료급여임신·출산진료비지원,"임신이 확인된 의료급여 수급권자에게 임신과 출산에 필요한 의료비를 지원","임신·출산 진료비로 60만원을 지원합니다(쌍둥이 이상 다태아일 경우 100만원).
임신과 출산에 관련된 진료를 편리하게 받기 어려운 분만취약지역에 계속하여 30일 이상 거주하는 경우 20만원 추가 지원됩니다.
임신·출산진료비 신청일 이전에 부담한 본인부담금은 소급 적용이 불가하며 지원기간 내 미사용한 금액은 소멸됩니다.","의료급여 수급자 중 임신 중이거나 출산(유산 및 사산 포함)한 수급권자 및 출산한 1세 미만의 자녀를 지원합니다.","시·군·구청을 방문하여 신청합니다",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=040&welInfSno=315&pageGb=1&domainName=&firstIndex=10&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,산모건강,8
"의료급여수급권자 영유아건강검진비 지원","영·유아의 건강증진을 도모하고 건강한 미래인으로 성장할 수 있도록
연령에 적합한 건강검진 프로그램을 도입하여 성장과 발달 사항을 추적 관리하고.
보호자에게 적절한 교육 프로그램을 제공합니다.","성장 이상. 발달 이상. 비만. 안전사고. 영아 급사 증후군. 청각이상. 시각이상. 치아 우식증 등을 예방합니다.
영·유아 건강검진 항목은 각 월령에 특화된 문진(시각·청각 문진 포함)과 진찰. 신체계측(신장·체중·두위)을 공통으로 실시하며. 9종의 건강교육과 발달평가 및 상담(4개월 제외)을 지원합니다.
검진주기는 4개월/ 9개월/ 18개월/ 30개월/ 42개월/ 54개월/ 66개월입니다.","의료급여 수급권자 중 만 6세 미만의 모든 영유아를 대상으로 합니다.","국민건강보험공단에서 대상자를 선정합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=041&welInfSno=322&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,아이건강,9
"미숙아 및 선천성이상아 의료비 지원F11A11:E11","보건소에 등록하여 관리하고 있는 미숙아 및 선천성 이상아 치료에
소요되는 의료비를 지원합니다.","미숙아와 선천성 이상아의 수술 및 치료비를 지원합니다.
미숙아: 체중별 최고 1.000만원까지 지원
선천성 이상아: 최고 500만원까지 지원","출생 직후에 입원하여 수술 및 치료를 필요로 하는 미숙아 및 선천성 이상아*를 지원합니다.
* 출생 후 28일 이내에 질병코드 Q로 시작하는 선천성 이상아로 진단받은 환아로서 출생 후 6개월 이내에 입원하여 수술한 의료비를 지원","시/군/구 및 보건소에 직접 방문하여 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=01&searchCtgId=041&welInfSno=327&pageGb=1&domainName=&firstIndex=0&recordCountPerPage=10&cardListTypeCd=list&welSrvTypeCd=01&searchGb=01&searchWelInfNm=&pageUnit=10&key1=list&stsfCn=,생애주기,임신출산,아이건강,10
